;configuration;gamma;idle_time;cycle_count;steps;items_processed;reward;idle_percent;cycle_percent
1x2;1x2;0.99;0.21;0.58;2844.43;151;454.02;0.000;0.004
2x2;2x2;0.99;0.05;5.31;1418.31;151.05;446.46;0.000;0.035
2x3;2x3;0.99;0.38;4.33;2505.22;151.02;447.33;0.000;0.029
3x3;3x3;0.99;2.17;14.69;1666.1;151.02;422.43;0.001;0.097
4x3;4x3;0.99;703.94;183.28;1409.43;148.14;-101.31;0.499;1.237
5x3;5x3;0.99;2825.71;329.46;812.78;32.15;-926.7;3.477;10.248
